targetX,targetY,linearMag,headingRad,velVx,velVy,omega,converged,convergedIter,hoodDeg,flywheelRPM,turretDeg,distanceToTarget,timeOfFlight,,,
1,-3,0.33,2.617994,-0.285788,0.165,0.392699,TRUE,4,74.547314,2495.268641,-67.229302,3.451872,1.108107,,,
1,-3,0.33,2.617994,-0.285788,0.165,0.785398,TRUE,4,74.525848,2497.415227,-66.930634,3.459643,1.108966,,,
1,-3,0.33,3.141593,-0.33,0,0,TRUE,4,74.983875,2451.612463,-65.61501,3.293837,1.090645,,,
1,-3,0.33,3.141593,-0.33,0,0.392699,TRUE,4,74.961681,2453.831914,-65.30925,3.301872,1.091533,,,
1,-3,0.33,3.141593,-0.33,0,0.785398,TRUE,4,74.939187,2456.081342,-65.004429,3.310014,1.092433,,,
1,-3,0.33,3.665191,-0.285788,-0.165,0,TRUE,3,75.496557,2435.103304,-65.269656,3.111226,1.055241,,,
1,-3,0.33,3.665191,-0.285788,-0.165,0.392699,TRUE,3,75.474875,2435.753755,-64.952708,3.118945,1.056759,,,
1,-3,0.33,3.665191,-0.285788,-0.165,0.785398,TRUE,3,75.452863,2436.414098,-64.636305,3.126781,1.0583,,,
1,-3,0.33,4.18879,-0.165,-0.285788,0,TRUE,4,75.952069,2421.43793,-66.649966,2.949063,1.023355,,,
1,-3,0.33,4.18879,-0.165,-0.285788,0.392699,TRUE,4,75.932769,2422.016936,-66.324721,2.955934,1.024706,,,
1,-3,0.33,4.18879,-0.165,-0.285788,0.785398,TRUE,4,75.913159,2422.60522,-66.000037,2.962915,1.026079,,,
1,-3,0.33,4.712389,0,-0.33,0,TRUE,4,76.340304,2387.671074,-69.404943,2.84284,1.026806,,,
1,-3,0.33,4.712389,0,-0.33,0.392699,TRUE,4,76.31548,2390.029429,-69.068886,2.849344,1.02631,,,
1,-3,0.33,4.712389,0,-0.33,0.785398,TRUE,4,76.290298,2392.421646,-68.734716,2.855942,1.025806,,,
1,-3,0.33,5.235988,0.165,-0.285788,0,TRUE,4,76.38614,2383.316686,-72.941348,2.830831,1.027723,,,
1,-3,0.33,5.235988,0.165,-0.285788,0.392699,TRUE,4,76.365353,2385.291422,-72.594414,2.836277,1.027307,,,
1,-3,0.33,5.235988,0.165,-0.285788,0.785398,TRUE,4,76.344179,2387.302991,-72.249095,2.841825,1.026884,,,
1,-3,0.33,5.759587,0.285788,-0.165,0,TRUE,4,76.050549,2415.197826,-75.957593,2.918756,1.021011,,,
1,-3,0.33,5.759587,0.285788,-0.165,0.392699,TRUE,4,76.033555,2416.812284,-75.617241,2.923209,1.020671,,,
1,-3,0.33,5.759587,0.285788,-0.165,0.785398,TRUE,4,76.016173,2418.463563,-75.27813,2.927763,1.020323,,,
1,-3,0.67,0,0.67,0,0,TRUE,3,75.76538,2427.038597,-84.183602,3.015525,1.036423,,,
1,-3,0.67,0,0.67,0,0.392699,TRUE,3,75.760151,2427.195462,-83.846353,3.017386,1.036789,,,
1,-3,0.67,0,0.67,0,0.785398,TRUE,3,75.754629,2427.361122,-83.509536,3.019352,1.037176,,,
1,-3,0.67,0.523599,0.580237,0.335,0,TRUE,4,74.723323,2477.6677,-83.881619,3.388157,1.101067,,,
1,-3,0.67,0.523599,0.580237,0.335,0.392699,TRUE,4,74.717337,2478.266304,-83.561068,3.390324,1.101306,,,
1,-3,0.67,0.523599,0.580237,0.335,0.785398,TRUE,4,74.711046,2478.895359,-83.240915,3.392601,1.101558,,,
1,-3,0.67,1.047198,0.335,0.580237,0,TRUE,5,73.818121,2563.640892,-80.388176,3.710929,1.135456,,,
1,-3,0.67,1.047198,0.335,0.580237,0.392699,TRUE,5,73.807602,2564.429828,-80.088737,3.714453,1.135772,,,
1,-3,0.67,1.047198,0.335,0.580237,0.785398,TRUE,5,73.79676,2565.242995,-79.789767,3.718085,1.136097,,,
1,-3,0.67,1.570796,0,0.67,0,TRUE,6,73.246121,2606.540928,-75.152764,3.902549,1.152616,,,
1,-3,0.67,1.570796,0,0.67,0.392699,TRUE,6,73.229625,2607.778138,-74.868765,3.908076,1.153111,,,
1,-3,0.67,1.570796,0,0.67,0.785398,TRUE,6,73.212811,2609.039211,-74.585351,3.913708,1.153616,,,
1,-3,0.67,2.094395,-0.335,0.580237,0,TRUE,6,73.184694,2611.147982,-69.299736,3.923128,1.154459,,,
1,-3,0.67,2.094395,-0.335,0.580237,0.392699,TRUE,6,73.161934,2612.854954,-69.023721,3.930752,1.155142,,,
1,-3,0.67,2.094395,-0.335,0.580237,0.785398,TRUE,6,73.138858,2614.585636,-68.74844,3.938483,1.155834,,,
1,-3,0.67,2.617994,-0.580237,0.335,0,TRUE,5,73.646808,2576.489369,-63.832516,3.768319,1.140596,,,
1,-3,0.67,2.617994,-0.580237,0.335,0.392699,TRUE,5,73.619067,2578.570004,-63.556584,3.777613,1.141428,,,
1,-3,0.67,2.617994,-0.580237,0.335,0.785398,TRUE,5,73.591009,2580.674302,-63.281563,3.787012,1.14227,,,
1,-3,0.67,3.141593,-0.67,0,0,TRUE,5,74.4973,2500.269954,-59.832385,3.469977,1.110108,,,
1,-3,0.67,3.141593,-0.67,0,0.392699,TRUE,5,74.469208,2503.079238,-59.545574,3.480147,1.111232,,,
1,-3,0.67,3.141593,-0.67,0,0.785398,TRUE,5,74.440808,2505.919234,-59.259765,3.490428,1.112368,,,
1,-3,0.67,3.665191,-0.580237,-0.335,0,TRUE,3,75.531182,2434.064536,-58.679523,3.098899,1.052817,,,
1,-3,0.67,3.665191,-0.580237,-0.335,0.392699,TRUE,3,75.504087,2434.877403,-58.366218,3.108545,1.054714,,,
1,-3,0.67,3.665191,-0.580237,-0.335,0.785398,TRUE,3,75.47663,2435.701095,-58.053503,3.11832,1.056636,,,
1,-3,0.67,4.18879,-0.335,-0.580237,0,TRUE,4,76.687081,2354.727304,-60.711211,2.751985,1.033742,,,
1,-3,0.67,4.18879,-0.335,-0.580237,0.392699,TRUE,4,76.652341,2358.027622,-60.393157,2.761087,1.033047,,,
1,-3,0.67,4.18879,-0.335,-0.580237,0.785398,TRUE,4,76.617317,2361.354854,-60.077709,2.770263,1.032346,,,
1,-3,0.67,4.712389,0,-0.67,0,TRUE,2,77.68568,2273.573984,-66.530549,2.510922,1.04,,,
1,-3,0.67,4.712389,0,-0.67,0.392699,TRUE,2,77.65428,2275.929036,-66.151672,2.518207,1.04,,,
1,-3,0.67,4.712389,0,-0.67,0.785398,TRUE,2,77.622407,2278.319479,-65.774997,2.525602,1.04,,,
1,-3,0.67,5.235988,0.335,-0.580237,0,TRUE,2,77.803637,2264.727209,-74.789518,2.483556,1.04,,,
1,-3,0.67,5.235988,0.335,-0.580237,0.392699,TRUE,2,77.782842,2266.286879,-74.386162,2.488381,1.04,,,
1,-3,0.67,5.235988,0.335,-0.580237,0.785398,TRUE,2,77.761517,2267.886261,-73.984387,2.493328,1.04,,,
1,-3,0.67,5.759587,0.580237,-0.335,0,TRUE,5,76.956284,2329.15301,-81.484515,2.681454,1.039126,,,
1,-3,0.67,5.759587,0.580237,-0.335,0.392699,TRUE,5,76.945458,2330.181453,-81.099274,2.68429,1.038909,,,
1,-3,0.67,5.759587,0.580237,-0.335,0.785398,TRUE,5,76.93416,2331.254796,-80.714925,2.68725,1.038683,,,
1,-2.5,0,0,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,0,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,0,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,0.523599,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,0.523599,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,0.523599,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,1.047198,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,1.047198,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,1.047198,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,1.570796,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,1.570796,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,1.570796,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,2.094395,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,2.094395,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,2.094395,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,2.617994,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,2.617994,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,2.617994,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,3.141593,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,3.141593,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,3.141593,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,3.665191,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,3.665191,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,3.665191,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,4.18879,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
1,-2.5,0,4.18879,0,0,0.392699,TRUE,2,76.88793,2335.646671,-67.841594,2.699362,1.037759,,,
1,-2.5,0,4.18879,0,0,0.785398,TRUE,2,76.861681,2338.140328,-67.486758,2.70624,1.037234,,,
1,-2.5,0,4.712389,0,0,0,TRUE,2,76.913808,2333.188276,-68.198591,2.692582,1.038276,,,
